Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,38.189999,38.419998,38.049999,38.209999,34.433048,20000
2014-03-17,38.630001,38.970001,38.380001,38.860001,35.018803,10300
2014-03-18,39.099998,39.299999,38.799999,39.139999,35.271130,20100
2014-03-19,39.090000,39.220001,38.750000,38.919998,35.072865,10100
2014-03-20,38.700001,38.700001,38.299999,38.650002,34.829563,9900
2014-03-21,39.000000,39.000000,38.320000,38.520000,34.712414,5900
2014-03-24,38.730000,38.730000,38.000000,38.290001,34.505146,4100
2014-03-25,38.369999,38.680000,38.270000,38.439999,34.660229,15400
2014-03-26,38.830002,39.160000,38.779999,38.849998,35.029915,15200
2014-03-27,38.669998,39.070000,38.669998,39.060001,35.219269,6400
2014-03-28,39.250000,39.730000,39.250000,39.619999,35.724205,8800
2014-03-31,39.869999,41.200001,39.799999,41.200001,37.148846,63500
2014-04-01,40.290001,40.599998,40.070000,40.549999,36.562748,44500
2014-04-02,40.849998,40.910000,40.459999,40.650002,36.652927,33100
2014-04-03,41.000000,41.000000,40.560001,40.779999,36.770145,14200
2014-04-04,40.980000,40.980000,40.320000,40.330002,36.364391,11100
2014-04-07,40.209999,40.490002,39.939999,40.040001,36.102917,13500
2014-04-08,39.900002,40.209999,39.759998,40.180000,36.229141,18400
2014-04-09,40.180000,40.389999,39.930000,40.389999,36.418503,26800
2014-04-10,40.200001,40.200001,39.369999,39.509998,35.625011,27700
2014-04-11,39.200001,39.709999,39.200001,39.220001,35.363537,23600
2014-04-14,39.340000,39.799999,39.340000,39.340000,35.471733,25000
2014-04-15,39.189999,39.330002,38.669998,39.060001,35.219269,27900
2014-04-16,39.490002,40.070000,39.490002,40.070000,36.129955,47900
2014-04-17,40.080002,40.180000,39.930000,40.060001,36.120949,4600
2014-04-21,40.230000,40.230000,39.919998,40.230000,36.274220,17600
2014-04-22,40.250000,40.540001,40.150002,40.410000,36.436527,27500
2014-04-23,40.490002,40.490002,40.099998,40.119999,36.175037,5800
2014-04-24,40.049999,40.049999,39.660000,39.820000,35.904545,18600
2014-04-25,39.250000,39.389999,39.139999,39.320000,35.453701,51100
2014-04-28,39.230000,39.430000,39.000000,39.400002,35.525837,31000
2014-04-29,39.709999,39.709999,39.320000,39.549999,35.661091,21600
2014-04-30,39.549999,39.669998,39.360001,39.520000,35.634037,33900
2014-05-01,39.770000,40.029999,39.720001,39.849998,35.931591,12200
2014-05-02,39.889999,39.900002,39.380001,39.580002,35.688133,19300
2014-05-05,39.470001,39.470001,39.230000,39.419998,35.543869,7500
2014-05-06,39.279999,39.340000,39.070000,39.070000,35.228283,2700
2014-05-07,39.070000,39.070000,38.650002,38.860001,35.038940,16300
2014-05-08,38.599998,38.820000,38.500000,38.500000,34.714336,17400
2014-05-09,38.389999,38.500000,38.180000,38.340000,34.570065,4200
2014-05-12,38.669998,38.770000,38.400002,38.529999,34.741379,50300
2014-05-13,38.759998,39.049999,38.759998,39.049999,35.210247,12600
2014-05-14,39.020000,39.209999,39.020000,39.119999,35.273373,7700
2014-05-15,38.689999,38.840000,38.459999,38.599998,34.804501,8000
2014-05-16,38.419998,38.580002,38.419998,38.500000,34.714336,13300
2014-05-19,38.779999,38.880001,38.689999,38.779999,34.966801,13400
2014-05-20,38.860001,38.910000,38.369999,38.500000,34.714336,32900
2014-05-21,38.830002,38.900002,38.799999,38.860001,35.038940,2800
2014-05-22,39.020000,39.299999,39.020000,39.209999,35.354519,9700
2014-05-23,39.180000,39.480000,39.180000,39.480000,35.597965,6600
2014-05-27,39.610001,39.900002,39.610001,39.889999,35.967651,14900
2014-05-28,39.740002,39.900002,39.730000,39.820000,35.904545,2200
2014-05-29,39.990002,40.200001,39.990002,40.189999,36.238163,10200
2014-05-30,40.090000,40.290001,40.080002,40.279999,36.319302,6200
2014-06-02,40.160000,40.220001,40.139999,40.200001,36.247173,5200
2014-06-03,40.259998,40.360001,40.099998,40.209999,36.256187,3600
2014-06-04,40.169998,40.459999,40.169998,40.430000,36.454563,5200
2014-06-05,40.650002,40.700001,40.439999,40.650002,36.652927,4000
2014-06-06,40.959999,41.060001,40.830002,41.060001,37.022617,9900
2014-06-09,40.980000,40.990002,40.750000,40.830002,36.815224,12800
2014-06-10,40.509998,40.799999,40.470001,40.580002,36.589813,8000
2014-06-11,40.650002,40.650002,40.470001,40.549999,36.562748,2800
2014-06-12,40.630001,40.759998,40.380001,40.380001,36.409473,42600
2014-06-13,40.310001,40.419998,40.310001,40.310001,36.346359,1100
2014-06-16,40.220001,40.540001,40.150002,40.529999,36.544727,5500
2014-06-17,40.520000,40.790001,40.520000,40.790001,36.779156,12000
2014-06-18,40.020000,41.139999,40.020000,41.139999,37.094742,12900
2014-06-19,41.200001,41.290001,41.169998,41.169998,37.121796,4200
2014-06-20,41.200001,41.200001,41.070000,41.200001,37.148846,4800
2014-06-23,40.770000,41.180000,40.770000,40.919998,36.896374,12100
2014-06-24,40.590000,40.790001,40.480000,40.480000,36.855412,5200
2014-06-25,40.180000,40.830002,40.180000,40.770000,37.119442,5200
2014-06-26,40.799999,40.849998,40.560001,40.849998,37.192276,10600
2014-06-27,40.669998,40.860001,40.669998,40.860001,37.201374,2700
2014-06-30,40.869999,40.990002,40.700001,40.779999,37.128548,6100
2014-07-01,40.990002,41.470001,40.990002,41.470001,37.756756,11400
2014-07-02,41.349998,41.470001,41.349998,41.410000,37.702141,2400
2014-07-03,41.400002,41.540001,41.369999,41.540001,37.820492,10100
2014-07-07,41.599998,41.599998,41.049999,41.230000,37.538250,2600
2014-07-08,41.119999,41.119999,40.740002,40.740002,37.092125,16200
2014-07-09,40.950001,41.259998,40.880001,41.230000,37.538250,13800
2014-07-10,40.389999,40.700001,40.349998,40.700001,37.055702,2600
2014-07-11,40.790001,40.830002,40.689999,40.740002,37.092125,6300
2014-07-14,40.939999,41.130001,40.939999,41.090000,37.410782,3400
2014-07-15,41.270000,41.270000,40.950001,41.000000,37.328854,5300
2014-07-16,41.290001,41.439999,41.290001,41.349998,37.647507,1500
2014-07-17,41.270000,41.270000,40.970001,41.110001,37.429001,1300
