Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,26.820000,26.870001,26.750000,26.760000,25.142199,26200
2014-03-17,26.910000,26.990000,26.870001,26.930000,25.301920,31700
2014-03-18,27.080000,27.100000,26.940001,27.090000,25.452250,20400
2014-03-19,27.190001,27.190001,26.860001,26.910000,25.283134,23800
2014-03-20,26.930000,27.000000,26.840000,26.950001,25.320717,10600
2014-03-21,26.879999,27.030001,26.719999,26.719999,25.179361,10000
2014-03-24,26.900000,26.900000,26.299999,26.450001,24.924931,20600
2014-03-25,26.590000,26.590000,26.150000,26.240000,24.727041,21600
2014-03-26,26.290001,26.400000,26.049999,26.059999,24.557419,11500
2014-03-27,26.250000,26.250000,25.799999,25.910000,24.416065,20900
2014-03-28,26.040001,26.280001,26.040001,26.129999,24.623381,13500
2014-03-31,26.350000,26.400000,26.290001,26.340000,24.821276,12500
2014-04-01,26.320000,26.719999,26.320000,26.709999,25.169939,26700
2014-04-02,26.799999,26.920000,26.730000,26.900000,25.348980,37300
2014-04-03,26.959999,26.959999,26.650000,26.760000,25.217054,67200
2014-04-04,26.799999,26.820000,26.230000,26.270000,24.755302,23500
2014-04-07,26.209999,26.209999,25.570000,25.700001,24.218174,26800
2014-04-08,25.700001,25.969999,25.680000,25.950001,24.453756,25000
2014-04-09,25.910000,26.260000,25.910000,26.250000,24.736464,15800
2014-04-10,26.110001,26.320000,25.600000,25.650000,24.171057,19700
2014-04-11,25.280001,25.549999,25.240000,25.250000,23.794121,34100
2014-04-14,25.420000,25.530001,25.270000,25.309999,23.850660,18300
2014-04-15,25.379999,25.580000,25.049999,25.430000,23.963745,18000
2014-04-16,25.590000,25.780001,25.580000,25.780001,24.293562,11000
2014-04-17,25.770000,25.900000,25.750000,25.799999,24.312408,20300
2014-04-21,25.870001,25.900000,25.730000,25.889999,24.397219,10400
2014-04-22,25.950001,26.240000,25.950001,26.180000,24.670498,31900
2014-04-23,26.170000,26.170000,26.000000,26.000000,24.500875,9100
2014-04-24,26.110001,26.180000,25.900000,26.120001,24.613960,25800
2014-04-25,25.950001,25.950001,25.680000,25.690001,24.208752,27900
2014-04-28,25.670000,25.850000,25.299999,25.610001,24.133366,32300
2014-04-29,25.700001,25.770000,25.549999,25.750000,24.265291,17700
2014-04-30,25.780001,25.889999,25.650000,25.830000,24.340675,16500
2014-05-01,25.850000,26.080000,25.850000,25.969999,24.472609,9400
2014-05-02,25.969999,26.200001,25.969999,26.070000,24.566843,10200
2014-05-05,26.010000,26.100000,25.860001,26.070000,24.566843,13400
2014-05-06,25.969999,26.010000,25.750000,25.760000,24.274714,14700
2014-05-07,25.879999,25.879999,25.500000,25.670000,24.189901,22900
2014-05-08,25.690001,25.959999,25.629999,25.650000,24.171057,20000
2014-05-09,25.540001,25.820000,25.540001,25.809999,24.321827,4500
2014-05-12,25.969999,26.180000,25.969999,26.170000,24.661074,37100
2014-05-13,26.260000,26.260000,26.070000,26.090000,24.585688,14900
2014-05-14,26.100000,26.100000,25.790001,25.799999,24.312408,19700
2014-05-15,25.799999,25.799999,25.370001,25.620001,24.142792,18200
2014-05-16,25.700001,25.820000,25.559999,25.809999,24.321827,22300
2014-05-19,25.770000,25.930000,25.750000,25.920000,24.425489,6400
2014-05-20,25.790001,25.830000,25.590000,25.650000,24.171057,12800
2014-05-21,25.670000,25.969999,25.670000,25.959999,24.463179,32800
2014-05-22,25.889999,26.129999,25.889999,26.090000,24.585688,16900
2014-05-23,26.030001,26.340000,26.030001,26.309999,24.792999,23900
2014-05-27,26.450001,26.490000,26.410000,26.459999,24.934353,22400
2014-05-28,26.400000,26.459999,26.309999,26.389999,24.868389,1229100
2014-05-29,26.480000,26.500000,26.370001,26.500000,24.972048,23200
2014-05-30,26.540001,26.540001,26.410000,26.480000,24.953201,93500
2014-06-02,26.420000,26.610001,26.420000,26.600000,25.066282,17900
2014-06-03,26.440001,26.549999,26.440001,26.540001,25.009743,19600
2014-06-04,26.450001,26.690001,26.400000,26.670000,25.132244,37600
2014-06-05,26.580000,26.870001,26.559999,26.820000,25.273598,22600
2014-06-06,26.790001,26.990000,26.790001,26.990000,25.433798,24400
2014-06-09,27.010000,27.110001,26.990000,27.020000,25.462069,17300
2014-06-10,27.059999,27.059999,26.910000,26.959999,25.405521,98200
2014-06-11,26.940001,26.950001,26.840000,26.910000,25.358412,12500
2014-06-12,26.950001,26.950001,26.500000,26.549999,25.019161,17100
2014-06-13,26.549999,26.590000,26.420000,26.570000,25.038010,22500
2014-06-16,26.600000,26.680000,26.510000,26.680000,25.141672,27700
2014-06-17,26.590000,26.809999,26.590000,26.799999,25.254749,46700
2014-06-18,26.840000,26.969999,26.740000,26.969999,25.414951,17900
2014-06-19,26.990000,27.049999,26.850000,26.910000,25.358412,22300
2014-06-20,26.860001,26.879999,26.760000,26.780001,25.295122,10600
2014-06-23,26.740000,26.860001,26.709999,26.860001,25.370687,21600
2014-06-24,26.889999,27.020000,26.750000,26.760000,25.276230,16300
2014-06-25,26.770000,27.020000,26.770000,27.020000,25.521820,12600
2014-06-26,26.840000,27.000000,26.820000,27.000000,25.502924,14300
2014-06-27,26.830000,27.139999,26.830000,27.139999,25.635160,8600
2014-06-30,27.299999,27.299999,27.090000,27.110001,25.606825,11800
2014-07-01,27.230000,27.480000,27.230000,27.400000,25.880747,20300
2014-07-02,27.520000,27.520000,27.389999,27.389999,25.871294,28000
2014-07-03,27.469999,27.639999,27.469999,27.629999,26.097992,14600
2014-07-07,27.610001,27.610001,27.379999,27.389999,25.871294,14900
2014-07-08,27.299999,27.330000,27.059999,27.129999,25.625717,18300
2014-07-09,27.150000,27.430000,27.150000,27.430000,25.909086,32900
2014-07-10,27.100000,27.250000,27.000000,27.170000,25.663496,27000
2014-07-11,27.280001,27.280001,27.139999,27.200001,25.691833,18400
2014-07-14,27.379999,27.379999,27.270000,27.309999,25.795734,14800
2014-07-15,27.490000,27.490000,27.070000,27.180000,25.672945,16700
2014-07-16,27.370001,27.370001,27.219999,27.230000,25.720171,26200
2014-07-17,27.190001,27.250000,26.920000,26.980000,25.484034,23000
2014-07-18,27.100000,27.240000,27.040001,27.240000,25.729614,13400
2014-07-21,27.150000,27.180000,27.030001,27.120001,25.616272,31600
2014-07-22,27.260000,27.260000,27.190001,27.209999,25.701281,13500
2014-07-23,27.330000,27.330000,27.129999,27.209999,25.701281,13800
2014-07-24,27.260000,27.330000,27.260000,27.280001,25.767403,14100
2014-07-25,27.209999,27.209999,26.969999,26.969999,25.474585,20700
2014-07-28,26.959999,27.040001,26.860001,27.010000,25.512371,21700
2014-07-29,27.110001,27.170000,26.980000,26.980000,25.484034,5600
2014-07-30,27.200001,27.200001,26.920000,27.080000,25.578489,22200
2014-07-31,27.120001,27.120001,26.590000,26.610001,25.134550,18800
2014-08-01,26.559999,26.730000,26.379999,26.480000,25.011761,18200
2014-08-04,26.540001,26.809999,26.400000,26.780001,25.295122,17600
