Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,28.770000,29.010000,28.750000,28.830000,27.755754,96500
2014-03-17,28.980000,29.290001,28.980000,29.150000,28.063831,73200
2014-03-18,29.219999,29.469999,29.219999,29.440001,28.343027,532100
2014-03-19,29.510000,29.510000,29.070000,29.260000,28.169733,90500
2014-03-20,29.160000,29.320000,29.080000,29.309999,28.217867,128700
2014-03-21,29.389999,29.610001,29.299999,29.309999,28.217867,96000
2014-03-24,29.540001,29.540001,28.950001,29.139999,28.054203,134700
2014-03-25,29.290001,29.410000,29.139999,29.260000,28.214178,219100
2014-03-26,29.400000,29.450001,28.889999,28.889999,27.857397,143300
2014-03-27,28.830000,28.930000,28.629999,28.799999,27.770618,199700
2014-03-28,28.809999,29.209999,28.809999,29.020000,27.982752,79300
2014-03-31,29.260000,29.530001,29.100000,29.500000,28.445593,257400
2014-04-01,29.680000,29.760000,29.580000,29.740000,28.677021,358900
2014-04-02,29.820000,30.000000,29.790001,29.980000,28.908440,209700
2014-04-03,29.990000,30.049999,29.840000,29.969999,28.898796,206300
2014-04-04,30.170000,30.170000,29.420000,29.490000,28.435949,215100
2014-04-07,29.430000,29.459999,28.770000,28.910000,27.876684,178800
2014-04-08,28.860001,29.040001,28.680000,28.980000,27.944185,184300
2014-04-09,29.090000,29.480000,29.059999,29.480000,28.426311,144800
2014-04-10,29.500000,29.500000,28.780001,28.840000,27.809189,147000
2014-04-11,28.690001,28.830000,28.389999,28.450001,27.433128,124700
2014-04-14,28.670000,28.790001,28.340000,28.580000,27.558483,82900
2014-04-15,28.650000,28.850000,28.200001,28.730000,27.703115,173500
2014-04-16,28.860001,29.219999,28.860001,29.219999,28.175606,225600
2014-04-17,29.260000,29.459999,29.180000,29.410000,28.358814,202100
2014-04-21,29.410000,29.490000,29.240000,29.469999,28.416668,148100
2014-04-22,29.459999,29.740000,29.459999,29.629999,28.570953,198000
2014-04-23,29.670000,29.809999,29.610001,29.700001,28.638451,102100
2014-04-24,29.910000,29.910000,29.420000,29.650000,28.590235,124400
2014-04-25,29.610001,29.610001,29.170000,29.200001,28.156324,139800
2014-04-28,29.350000,29.370001,28.730000,29.080000,28.040604,226800
2014-04-29,29.250000,29.290001,29.000000,29.240000,28.194893,156700
2014-04-30,29.270000,29.540001,29.200001,29.530001,28.474524,276400
2014-05-01,29.580000,29.790001,29.469999,29.570000,28.513096,556900
2014-05-02,29.540001,29.799999,29.520000,29.590000,28.532379,219100
2014-05-05,29.440001,29.629999,29.290001,29.590000,28.532379,97100
2014-05-06,29.590000,29.600000,29.360001,29.420000,28.368456,199300
2014-05-07,29.370001,29.530001,29.160000,29.520000,28.464884,188000
2014-05-08,29.510000,29.830000,29.430000,29.500000,28.445593,769900
2014-05-09,29.580000,29.580000,29.280001,29.510000,28.455238,108000
2014-05-12,29.650000,30.000000,29.650000,29.990000,28.918085,107400
2014-05-13,30.049999,30.120001,29.940001,29.980000,28.908440,288600
2014-05-14,30.000000,30.000000,29.559999,29.620001,28.561308,135300
2014-05-15,29.590000,29.590000,28.959999,29.270000,28.223816,204800
2014-05-16,29.330000,29.330000,29.090000,29.309999,28.262386,53200
2014-05-19,29.270000,29.580000,29.240000,29.549999,28.493809,65700
2014-05-20,29.520000,29.520000,29.010000,29.139999,28.098463,75700
2014-05-21,29.219999,29.360001,29.120001,29.280001,28.233461,116800
2014-05-22,29.330000,29.500000,29.330000,29.440001,28.387745,169800
2014-05-23,29.490000,29.730000,29.450001,29.709999,28.648087,144200
2014-05-27,29.860001,29.990000,29.840000,29.889999,28.821655,162300
2014-05-28,29.980000,30.049999,29.870001,29.980000,28.908440,119300
2014-05-29,29.940001,30.080000,29.870001,30.070000,28.995222,162700
2014-05-30,30.110001,30.110001,29.950001,30.049999,28.975937,671300
2014-06-02,30.049999,30.240000,29.879999,30.219999,29.139862,211600
2014-06-03,30.150000,30.260000,30.020000,30.150000,29.072359,230400
2014-06-04,30.120001,30.270000,30.059999,30.230000,29.149504,117000
2014-06-05,30.350000,30.639999,30.290001,30.600000,29.506279,132600
2014-06-06,30.660000,30.930000,30.660000,30.920000,29.814842,120200
2014-06-09,30.980000,31.260000,30.920000,31.120001,30.007689,11713600
2014-06-10,31.110001,31.110001,30.870001,31.030001,29.920910,594300
2014-06-11,31.040001,31.040001,30.690001,30.760000,29.660563,287200
2014-06-12,30.670000,30.680000,30.219999,30.309999,29.226646,308700
2014-06-13,30.280001,30.469999,30.230000,30.400000,29.313429,280500
2014-06-16,30.400000,30.440001,30.230000,30.309999,29.226646,3290100
2014-06-17,30.309999,30.549999,30.240000,30.500000,29.409853,279700
2014-06-18,30.570000,30.639999,30.360001,30.600000,29.506279,682200
2014-06-19,30.570000,30.709999,30.480000,30.629999,29.535206,230300
2014-06-20,30.740000,30.780001,30.670000,30.760000,29.660563,171600
2014-06-23,30.799999,30.809999,30.549999,30.650000,29.554493,147000
2014-06-24,30.520000,30.629999,30.170000,30.170000,29.178946,183900
2014-06-25,30.139999,30.379999,30.129999,30.360001,29.362709,301200
2014-06-26,30.379999,30.379999,30.090000,30.320000,29.324022,237500
2014-06-27,30.280001,30.469999,30.280001,30.450001,29.449753,109800
2014-06-30,30.510000,30.530001,30.320000,30.510000,29.507780,378200
2014-07-01,30.580000,30.840000,30.530001,30.740000,29.730225,268600
2014-07-02,30.770000,30.770000,30.549999,30.580000,29.575478,194800
2014-07-03,30.719999,30.850000,30.690001,30.809999,29.797926,126300
2014-07-07,30.790001,30.790001,30.370001,30.400000,29.401396,9224800
2014-07-08,30.330000,30.450001,30.030001,30.170000,29.178946,473700
2014-07-09,30.209999,30.330000,30.120001,30.209999,29.217632,310900
2014-07-10,29.870001,30.190001,29.709999,30.070000,29.082233,232200
2014-07-11,30.100000,30.160000,29.950001,30.080000,29.091904,152800
2014-07-14,30.280001,30.459999,30.280001,30.400000,29.401396,292200
2014-07-15,30.400000,30.520000,30.260000,30.350000,29.353037,117500
2014-07-16,30.490000,30.510000,30.309999,30.450001,29.449753,299100
2014-07-17,30.379999,30.500000,30.049999,30.059999,29.072561,150000
2014-07-18,30.160000,30.410000,30.150000,30.389999,29.391716,188900
2014-07-21,30.299999,30.500000,30.230000,30.430000,29.430405,9322700
2014-07-22,30.559999,30.750000,30.510000,30.660000,29.652855,686400
2014-07-23,30.590000,30.709999,30.540001,30.620001,29.614168,178000
2014-07-24,30.620001,30.620001,30.420000,30.459999,29.459417,216900
2014-07-25,30.410000,30.520000,30.309999,30.340000,29.343363,189300
2014-07-28,30.400000,30.400000,30.020000,30.150000,29.159605,9301800
2014-07-29,30.209999,30.230000,29.799999,29.799999,28.821102,848700
2014-07-30,29.920000,30.010000,29.750000,29.900000,28.917818,180300
2014-07-31,29.690001,29.719999,29.240000,29.260000,28.298838,206600
