Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,107.739998,109.029999,107.739998,108.150002,102.616531,20900
2014-03-17,108.639999,109.650002,108.639999,109.300003,103.707687,26800
2014-03-18,109.400002,110.639999,109.400002,110.040001,104.409836,40000
2014-03-19,110.290001,110.389999,108.269997,108.940002,103.366112,36400
2014-03-20,108.959999,109.440002,108.440002,108.980003,103.404068,36900
2014-03-21,109.459999,109.699997,108.459999,108.459999,102.910667,46200
2014-03-24,108.570000,108.980003,107.150002,108.029999,102.502647,23900
2014-03-25,108.940002,108.970001,108.019997,108.510002,103.158646,41000
2014-03-26,109.720001,109.720001,107.330002,107.330002,102.036819,50400
2014-03-27,106.900002,107.330002,106.160004,106.540001,101.285797,54100
2014-03-28,106.669998,108.070000,106.669998,107.320000,102.027328,26400
2014-03-31,108.059998,109.320000,107.949997,109.160004,103.776588,54200
2014-04-01,109.309998,110.599998,109.309998,110.529999,105.079018,40600
2014-04-02,110.959999,111.239998,110.620003,111.139999,105.658928,32100
2014-04-03,111.099998,111.260002,110.410004,110.809998,105.345215,18900
2014-04-04,111.139999,111.349998,108.150002,108.150002,102.816391,64000
2014-04-07,107.949997,108.459999,106.180000,106.599998,101.342834,44000
2014-04-08,106.379997,106.419998,105.250000,106.019997,100.791428,108100
2014-04-09,106.949997,107.959999,106.169998,107.889999,102.569214,35800
2014-04-10,107.910004,107.910004,105.089996,105.260002,100.068932,22300
2014-04-11,104.779999,105.410004,103.800003,104.099998,98.966110,68600
2014-04-14,104.760002,105.180000,103.959999,104.830002,99.660118,25600
2014-04-15,104.830002,106.080002,103.870003,106.080002,100.848457,29600
2014-04-16,106.430000,107.660004,106.360001,107.650002,102.341049,32900
2014-04-17,107.830002,109.129997,107.580002,108.889999,103.519897,28400
2014-04-21,109.089996,109.300003,108.370003,109.029999,103.652977,136600
2014-04-22,109.620003,109.959999,108.660004,108.660004,103.301247,51600
2014-04-23,109.000000,109.889999,108.750000,109.769997,104.356522,34200
2014-04-24,110.180000,110.180000,107.870003,108.639999,103.282227,57900
2014-04-25,108.330002,108.330002,107.110001,107.180000,101.894234,29000
2014-04-28,107.739998,108.230003,105.699997,106.699997,101.437881,25700
2014-04-29,107.680000,108.349998,107.440002,108.050003,102.721329,26000
2014-04-30,107.720001,108.699997,107.309998,108.680000,103.320251,69900
2014-05-01,108.690002,109.360001,107.930000,108.349998,103.006523,71900
2014-05-02,108.320000,109.699997,108.320000,109.089996,103.710030,29100
2014-05-05,109.029999,110.559998,108.620003,110.339996,104.898376,35900
2014-05-06,110.320000,110.400002,108.980003,108.980003,103.605453,29800
2014-05-07,109.589996,109.910004,108.279999,109.820000,104.404022,23500
2014-05-08,109.919998,110.510002,109.220001,109.419998,104.023758,26800
2014-05-09,109.000000,109.930000,108.800003,109.610001,104.204376,24300
2014-05-12,110.739998,111.589996,110.139999,111.250000,105.763489,100200
2014-05-13,111.480003,111.919998,111.080002,111.250000,105.763489,48700
2014-05-14,111.389999,111.389999,109.510002,109.720001,104.308952,25500
2014-05-15,109.699997,109.699997,107.690002,108.010002,102.683296,40800
2014-05-16,108.470001,108.860001,107.099998,107.730003,102.417107,26400
2014-05-19,107.800003,108.489998,107.330002,108.059998,102.730820,28100
2014-05-20,107.900002,107.989998,106.019997,106.370003,101.124184,26100
2014-05-21,106.870003,107.260002,106.449997,106.919998,101.647049,26700
2014-05-22,107.320000,107.680000,107.000000,107.489998,102.188927,15100
2014-05-23,107.550003,108.589996,107.550003,108.449997,103.101593,119900
2014-05-27,109.120003,109.279999,108.620003,109.269997,103.881149,61500
2014-05-28,109.129997,109.839996,108.970001,109.000000,103.624481,165000
2014-05-29,109.410004,109.739998,108.989998,109.669998,104.261421,20200
2014-05-30,109.800003,109.959999,109.419998,109.919998,104.499092,15800
2014-06-02,109.809998,110.589996,109.279999,110.470001,105.021965,26800
2014-06-03,110.489998,110.599998,109.889999,110.379997,104.936417,15100
2014-06-04,110.250000,110.709999,110.150002,110.709999,105.250130,68900
2014-06-05,110.709999,112.430000,110.709999,112.430000,106.885300,27100
2014-06-06,112.500000,113.300003,112.500000,113.250000,107.664871,22500
2014-06-09,113.379997,114.419998,113.059998,114.190002,108.558533,874100
2014-06-10,114.089996,114.089996,112.870003,113.419998,107.826492,47300
2014-06-11,112.989998,113.029999,111.860001,112.110001,106.581085,77600
2014-06-12,111.779999,111.910004,110.430000,110.720001,105.259644,40500
2014-06-13,110.750000,111.349998,110.500000,110.989998,105.516327,14600
2014-06-16,111.190002,111.330002,110.699997,111.150002,105.668449,21900
2014-06-17,111.180000,111.559998,110.500000,110.989998,105.516327,28500
2014-06-18,111.000000,111.300003,110.300003,111.199997,105.715981,49400
2014-06-19,111.250000,111.589996,110.769997,111.160004,105.677948,79700
2014-06-20,111.500000,111.709999,111.199997,111.389999,105.896599,13800
2014-06-23,111.309998,111.589996,110.309998,110.489998,105.041000,34200
2014-06-24,109.849998,109.989998,108.269997,108.360001,103.641701,63000
2014-06-25,107.930000,108.410004,107.760002,108.339996,103.622574,28500
2014-06-26,108.309998,108.309998,107.510002,108.059998,103.354744,29100
2014-06-27,107.750000,108.529999,107.750000,108.529999,103.804298,31400
2014-06-30,108.370003,108.370003,107.550003,107.839996,103.144318,33900
2014-07-01,107.989998,109.320000,107.769997,108.849998,104.110352,90500
2014-07-02,108.820000,108.870003,107.870003,107.870003,103.173027,36100
2014-07-03,108.180000,108.650002,108.180000,108.459999,103.737343,16000
2014-07-07,108.300003,108.300003,107.629997,107.800003,103.106087,134900
2014-07-08,107.430000,107.510002,106.190002,106.440002,101.805305,33500
2014-07-09,106.169998,107.150002,106.169998,106.809998,102.159195,59800
2014-07-10,105.629997,107.010002,104.680000,106.580002,101.939209,32600
2014-07-11,106.459999,107.230003,106.370003,107.099998,102.436562,20700
2014-07-14,107.540001,108.230003,107.540001,108.059998,103.354744,51600
2014-07-15,108.279999,108.720001,107.440002,107.910004,103.211296,38100
2014-07-16,108.360001,108.360001,107.470001,107.669998,102.981720,122000
2014-07-17,107.419998,107.800003,106.300003,106.300003,101.671387,38100
2014-07-18,106.519997,107.730003,106.519997,107.650002,102.962616,17500
2014-07-21,107.230003,108.290001,107.010002,108.209999,103.498207,24700
2014-07-22,108.629997,108.739998,108.260002,108.459999,103.737343,16700
2014-07-23,108.519997,108.519997,107.339996,107.339996,102.666100,46500
2014-07-24,107.320000,107.320000,106.260002,106.389999,101.757484,27100
2014-07-25,106.000000,106.050003,105.139999,105.379997,100.791451,863600
2014-07-28,105.339996,105.540001,104.699997,105.320000,100.734055,54500
2014-07-29,105.309998,105.430000,104.410004,104.440002,99.892380,92300
2014-07-30,104.980003,105.300003,104.089996,104.739998,100.179321,23500
2014-07-31,104.040001,104.040001,102.449997,102.660004,98.189896,80300
2014-08-01,102.500000,103.879997,102.500000,103.330002,98.830727,41600
2014-08-04,103.860001,103.860001,102.680000,103.260002,98.763771,44300
2014-08-05,102.690002,104.199997,102.000000,103.309998,98.811584,37400
2014-08-06,102.529999,102.830002,102.059998,102.209999,97.759476,44300
2014-08-07,102.639999,102.970001,102.089996,102.320000,97.864677,30200
2014-08-08,102.400002,104.000000,102.379997,103.980003,99.452408,21000
2014-08-11,104.529999,105.120003,104.320000,104.540001,99.988037,23300
2014-08-12,104.330002,104.709999,103.589996,103.830002,99.308937,32800
2014-08-13,104.160004,105.510002,103.930000,105.389999,100.801033,15900
2014-08-14,105.620003,106.089996,105.510002,105.730003,101.126213,19100
2014-08-15,106.190002,106.500000,105.099998,105.699997,101.097504,27400
2014-08-18,106.580002,107.330002,106.449997,107.290001,102.618279,27400
2014-08-19,107.449997,107.769997,107.370003,107.730003,103.039131,25000
2014-08-20,107.580002,108.599998,107.580002,108.559998,103.832985,29000
2014-08-21,108.559998,109.010002,108.220001,108.930000,104.186867,16600
2014-08-22,108.980003,109.110001,108.559998,108.769997,104.033829,16000
2014-08-25,109.269997,109.919998,109.099998,109.300003,104.540764,26000
2014-08-26,109.480003,109.690002,109.360001,109.430000,104.665100,38100
2014-08-27,109.440002,109.480003,108.800003,108.940002,104.196449,23900
2014-08-28,108.519997,108.610001,108.279999,108.510002,103.785172,26500
2014-08-29,108.750000,108.750000,108.120003,108.669998,103.938202,13500
2014-09-02,108.919998,109.250000,108.519997,109.080002,104.330345,31300
2014-09-03,109.629997,109.629997,108.870003,109.050003,104.301636,57600
2014-09-04,109.239998,109.730003,108.629997,108.709999,103.976463,28800
2014-09-05,108.860001,109.080002,108.440002,109.080002,104.330345,31900
2014-09-08,109.019997,109.639999,108.949997,109.370003,104.607704,14200
2014-09-09,109.449997,109.849998,109.180000,109.260002,104.502502,60800
2014-09-10,109.389999,110.099998,109.169998,110.040001,105.248543,24500
2014-09-11,109.620003,110.150002,109.570000,110.059998,105.267670,32400
2014-09-12,110.099998,110.110001,109.290001,109.720001,104.942474,32400
2014-09-15,109.760002,109.760002,109.050003,109.660004,104.885094,30600
2014-09-16,109.629997,110.370003,109.110001,110.120003,105.325066,38300
2014-09-17,110.230003,110.709999,109.849998,110.199997,105.401573,35700
2014-09-18,110.540001,110.959999,110.459999,110.959999,106.128479,36600
2014-09-19,111.300003,111.650002,110.529999,110.739998,105.918060,22000
2014-09-22,110.400002,110.400002,109.099998,109.129997,104.378166,20200
2014-09-23,108.910004,108.910004,107.750000,107.959999,103.259117,29400
2014-09-24,107.820000,108.169998,107.440002,108.059998,103.596565,18300
2014-09-25,107.980003,107.980003,106.660004,106.870003,102.455727,43900
2014-09-26,107.139999,108.480003,106.970001,108.370003,103.893776,27400
2014-09-29,107.970001,108.489998,107.230003,107.949997,103.491112,58600
2014-09-30,108.169998,108.349998,107.300003,107.580002,103.136398,17500
2014-10-01,107.370003,107.370003,105.040001,105.349998,100.998512,121100
2014-10-02,105.070000,105.430000,103.900002,104.769997,100.442459,57300
2014-10-03,105.639999,106.510002,105.480003,106.190002,101.803810,75800
2014-10-06,106.750000,106.959999,105.500000,105.720001,101.353233,54600
2014-10-07,105.279999,105.279999,103.269997,103.349998,99.081123,46500
2014-10-08,103.419998,104.940002,102.480003,104.940002,100.605423,27300
2014-10-09,104.959999,104.959999,102.540001,102.830002,98.582596,119300
2014-10-10,102.919998,103.360001,102.000000,102.440002,98.208717,25100
2014-10-13,102.470001,103.330002,100.870003,100.930000,96.761086,93900
2014-10-14,101.510002,103.610001,101.389999,102.510002,98.275826,50000
2014-10-15,101.639999,102.620003,98.400002,102.110001,97.892334,84800
2014-10-16,100.680000,102.970001,100.349998,102.370003,98.141609,64200
2014-10-17,103.779999,104.900002,103.779999,104.180000,99.876831,19300
2014-10-20,104.029999,104.330002,103.500000,104.220001,99.915184,18000
2014-10-21,104.680000,105.989998,104.349998,105.849998,101.477859,42000
2014-10-22,106.320000,106.849998,104.750000,104.750000,100.423286,37700
2014-10-23,105.169998,107.190002,105.169998,106.440002,102.043495,24000
2014-10-24,106.360001,107.239998,106.199997,107.230003,102.800865,11200
2014-10-27,106.379997,107.410004,106.220001,107.379997,102.944656,10900
2014-10-28,107.839996,109.750000,107.790001,109.720001,105.188011,25800
2014-10-29,109.599998,109.940002,108.720001,109.290001,104.775757,33600
2014-10-30,109.230003,110.290001,108.309998,110.050003,105.504387,35600
2014-10-31,111.239998,111.629997,110.669998,111.199997,106.606873,44400
2014-11-03,111.489998,111.650002,110.650002,111.169998,106.578102,161100
2014-11-04,110.930000,111.900002,110.839996,111.139999,106.549355,38900
2014-11-05,112.199997,112.199997,110.870003,110.989998,106.405533,29700
2014-11-06,111.160004,111.540001,110.800003,111.489998,106.884895,28000
2014-11-07,111.389999,111.389999,110.470001,111.040001,106.453491,18200
2014-11-10,111.309998,111.309998,110.709999,111.309998,106.712334,15400
2014-11-11,111.599998,111.839996,110.949997,111.099998,106.511009,46600
