Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,122.620003,122.769997,122.080002,122.250000,116.483833,7300
2014-03-17,122.820000,123.220001,122.779999,123.059998,117.255615,16900
2014-03-18,123.010002,123.599998,123.010002,123.400002,117.579575,11400
2014-03-19,123.419998,123.419998,121.910004,122.570000,116.788712,17900
2014-03-20,122.309998,122.989998,121.989998,122.790001,116.998329,24400
2014-03-21,123.639999,123.980003,122.209999,122.279999,116.512383,25800
2014-03-24,122.550003,122.550003,120.500000,121.070000,115.359482,27100
2014-03-25,121.589996,121.589996,119.970001,120.559998,115.115112,129200
2014-03-26,121.099998,121.099998,119.379997,119.379997,113.988419,18600
2014-03-27,119.430000,119.430000,118.309998,118.599998,113.243629,45000
2014-03-28,118.839996,120.099998,118.839996,119.370003,113.978882,22000
2014-03-31,120.379997,120.589996,119.970001,120.279999,114.847786,105900
2014-04-01,120.620003,121.760002,120.620003,121.750000,116.251389,37900
2014-04-02,122.000000,122.489998,121.809998,122.489998,116.957962,27100
2014-04-03,122.349998,122.669998,121.419998,121.830002,116.327774,31700
2014-04-04,122.389999,122.389999,119.760002,119.919998,114.504036,29200
2014-04-07,119.430000,119.620003,117.059998,117.739998,112.422493,37900
2014-04-08,117.760002,118.699997,117.500000,118.629997,113.272285,18100
2014-04-09,119.120003,120.290001,118.669998,120.290001,114.857307,162500
2014-04-10,120.190002,120.220001,116.839996,116.839996,111.563126,41100
2014-04-11,116.360001,117.190002,115.470001,115.790001,110.560555,120900
2014-04-14,116.489998,117.010002,115.660004,116.540001,111.276672,26100
2014-04-15,117.129997,117.129997,114.709999,116.449997,111.190735,52100
2014-04-16,117.180000,118.070000,117.129997,118.059998,112.728035,15600
2014-04-17,118.150002,118.580002,117.949997,118.360001,113.014473,20600
2014-04-21,118.459999,118.690002,118.080002,118.550003,113.195908,30200
2014-04-22,119.360001,120.000000,119.180000,119.639999,114.236694,9500
2014-04-23,120.000000,120.000000,119.169998,119.330002,113.940681,9100
2014-04-24,119.190002,119.860001,118.959999,119.760002,114.351265,10000
2014-04-25,119.000000,119.000000,117.919998,117.959999,112.632553,22200
2014-04-28,118.599998,118.879997,116.500000,117.910004,112.584801,34700
2014-04-29,118.330002,118.559998,117.599998,118.489998,113.138611,10300
2014-04-30,118.419998,118.800003,117.769997,118.750000,113.386864,14300
