Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,21.360001,21.900000,21.360001,21.600000,16.637054,93100
2014-03-17,21.780001,21.780001,21.670000,21.730000,16.737185,15800
2014-03-18,21.650000,21.950001,21.600000,21.879999,16.852722,27100
2014-03-19,21.850000,21.910000,21.580000,21.660000,16.683271,82400
2014-03-20,21.410000,21.590000,21.389999,21.559999,16.606245,39900
2014-03-21,21.620001,21.870001,21.620001,21.670000,16.690971,40600
2014-03-24,21.570000,21.570000,21.400000,21.540001,16.590843,61500
2014-03-25,21.520000,21.740000,21.520000,21.590000,16.669596,36200
2014-03-26,21.799999,21.809999,21.410000,21.410000,16.530617,48300
2014-03-27,21.379999,21.510000,21.320000,21.430000,16.546059,38200
2014-03-28,21.629999,21.840000,21.629999,21.770000,16.808573,33700
2014-03-31,21.910000,21.990000,21.840000,21.850000,16.870340,361900
2014-04-01,22.040001,22.090000,21.850000,22.090000,17.055643,66900
2014-04-02,22.200001,22.330000,22.200001,22.299999,17.217783,89000
2014-04-03,22.290001,22.290001,22.120001,22.209999,17.148293,33100
2014-04-04,22.250000,22.379999,22.049999,22.110001,17.071085,17400
2014-04-07,22.000000,22.010000,21.700001,21.790001,16.824013,78700
2014-04-08,21.780001,21.889999,21.670000,21.860001,16.878061,156200
2014-04-09,22.020000,22.070000,21.850000,22.070000,17.040207,13200
2014-04-10,22.110001,22.110001,21.639999,21.700001,16.754530,72300
2014-04-11,21.510000,21.700001,21.469999,21.570000,16.654152,46200
2014-04-14,21.500000,21.520000,21.290001,21.410000,16.530617,65800
2014-04-15,21.309999,21.360001,21.090000,21.330000,16.468853,117900
2014-04-16,21.490000,21.750000,21.490000,21.709999,16.762243,8300
2014-04-17,21.760000,21.959999,21.760000,21.950001,16.947550,16300
2014-04-21,21.910000,21.969999,21.770000,21.969999,16.962988,20800
2014-04-22,21.870001,21.969999,21.870001,21.930000,16.932116,24800
2014-04-23,21.860001,21.930000,21.860001,21.920000,16.924389,7600
2014-04-24,21.910000,21.930000,21.750000,21.750000,16.793131,21000
2014-04-25,21.670000,21.670000,21.480000,21.500000,16.600105,28000
2014-04-28,21.480000,21.730000,21.350000,21.480000,16.584667,12800
2014-04-29,21.660000,21.690001,21.629999,21.650000,16.715919,19500
2014-04-30,21.570000,21.690001,21.469999,21.639999,16.708199,16500
2014-05-01,21.650000,21.920000,21.650000,21.760000,16.800852,70100
2014-05-02,21.950001,22.030001,21.850000,21.920000,16.924389,19900
2014-05-05,21.870001,21.930000,21.650000,21.889999,16.901228,18500
2014-05-06,21.850000,21.889999,21.809999,21.820000,16.847179,6500
