DATE,HSN1F
1963/1/1,591
1963/2/1,464
1963/3/1,461
1963/4/1,605
1963/5/1,586
1963/6/1,526
1963/7/1,665
1963/8/1,570
1963/9/1,590
1963/10/1,567
1963/11/1,579
1963/12/1,514
1964/1/1,549
1964/2/1,609
1964/3/1,562
1964/4/1,559
1964/5/1,523
1964/6/1,580
1964/7/1,575
1964/8/1,582
1964/9/1,590
1964/10/1,583
1964/11/1,548
1964/12/1,540
1965/1/1,533
1965/2/1,559
1965/3/1,556
1965/4/1,555
1965/5/1,544
1965/6/1,614
1965/7/1,554
1965/8/1,615
1965/9/1,587
1965/10/1,555
1965/11/1,616
1965/12/1,609
1966/1/1,599
1966/2/1,541
1966/3/1,557
1966/4/1,545
1966/5/1,499
1966/6/1,434
1966/7/1,435
1966/8/1,377
1966/9/1,358
1966/10/1,387
1966/11/1,382
1966/12/1,369
1967/1/1,416
1967/2/1,408
1967/3/1,439
1967/4/1,479
1967/5/1,503
1967/6/1,499
1967/7/1,515
1967/8/1,504
1967/9/1,531
1967/10/1,566
1967/11/1,500
1967/12/1,502
1968/1/1,494
1968/2/1,543
1968/3/1,490
1968/4/1,501
1968/5/1,441
1968/6/1,441
1968/7/1,493
1968/8/1,507
1968/9/1,501
1968/10/1,502
1968/11/1,469
1968/12/1,511
1969/1/1,480
1969/2/1,524
1969/3/1,474
1969/4/1,450
1969/5/1,447
1969/6/1,461
1969/7/1,436
1969/8/1,422
1969/9/1,396
1969/10/1,401
1969/11/1,441
1969/12/1,452
1970/1/1,461
1970/2/1,373
1970/3/1,389
1970/4/1,445
1970/5/1,466
1970/6/1,485
1970/7/1,481
1970/8/1,515
1970/9/1,564
1970/10/1,545
1970/11/1,570
1970/12/1,582
1971/1/1,618
1971/2/1,618
1971/3/1,681
1971/4/1,662
1971/5/1,618
1971/6/1,646
1971/7/1,706
1971/8/1,659
1971/9/1,625
1971/10/1,647
1971/11/1,710
1971/12/1,689
1972/1/1,698
1972/2/1,711
1972/3/1,640
1972/4/1,684
1972/5/1,677
1972/6/1,687
1972/7/1,681
1972/8/1,773
1972/9/1,767
1972/10/1,843
1972/11/1,735
1972/12/1,772
1973/1/1,781
1973/2/1,737
1973/3/1,725
1973/4/1,661
1973/5/1,660
1973/6/1,650
1973/7/1,601
1973/8/1,566
1973/9/1,561
1973/10/1,565
1973/11/1,547
1973/12/1,519
1974/1/1,523
1974/2/1,539
1974/3/1,572
1974/4/1,544
1974/5/1,590
1974/6/1,534
1974/7/1,534
1974/8/1,492
1974/9/1,511
1974/10/1,448
1974/11/1,450
1974/12/1,417
1975/1/1,416
1975/2/1,422
1975/3/1,477
1975/4/1,543
1975/5/1,579
1975/6/1,557
1975/7/1,569
1975/8/1,566
1975/9/1,556
1975/10/1,609
1975/11/1,680
1975/12/1,669
1976/1/1,603
1976/2/1,644
1976/3/1,591
1976/4/1,611
1976/5/1,570
1976/6/1,591
1976/7/1,664
1976/8/1,648
1976/9/1,696
1976/10/1,708
1976/11/1,735
1976/12/1,767
1977/1/1,825
1977/2/1,839
1977/3/1,872
1977/4/1,799
1977/5/1,807
1977/6/1,805
1977/7/1,755
1977/8/1,808
1977/9/1,842
1977/10/1,819
1977/11/1,829
1977/12/1,835
1978/1/1,795
1978/2/1,791
1978/3/1,814
1978/4/1,864
1978/5/1,857
1978/6/1,834
1978/7/1,789
1978/8/1,756
1978/9/1,812
1978/10/1,872
1978/11/1,798
1978/12/1,805
1979/1/1,754
1979/2/1,723
1979/3/1,793
1979/4/1,748
1979/5/1,727
1979/6/1,700
1979/7/1,715
1979/8/1,729
1979/9/1,727
1979/10/1,670
1979/11/1,597
1979/12/1,559
1980/1/1,592
1980/2/1,541
1980/3/1,474
1980/4/1,370
1980/5/1,469
1980/6/1,552
1980/7/1,636
1980/8/1,659
1980/9/1,596
1980/10/1,561
1980/11/1,562
1980/12/1,532
1981/1/1,511
1981/2/1,510
1981/3/1,514
1981/4/1,470
1981/5/1,467
1981/6/1,415
1981/7/1,431
1981/8/1,378
1981/9/1,338
1981/10/1,356
1981/11/1,382
1981/12/1,457
1982/1/1,368
1982/2/1,365
1982/3/1,374
1982/4/1,339
1982/5/1,384
1982/6/1,370
1982/7/1,375
1982/8/1,407
1982/9/1,481
1982/10/1,480
1982/11/1,554
1982/12/1,521
1983/1/1,582
1983/2/1,562
1983/3/1,596
1983/4/1,638
1983/5/1,664
1983/6/1,651
1983/7/1,606
1983/8/1,572
1983/9/1,608
1983/10/1,632
1983/11/1,644
1983/12/1,773
1984/1/1,691
1984/2/1,696
1984/3/1,641
1984/4/1,639
1984/5/1,615
1984/6/1,630
1984/7/1,619
1984/8/1,567
1984/9/1,662
1984/10/1,687
1984/11/1,597
1984/12/1,597
1985/1/1,645
1985/2/1,682
1985/3/1,671
1985/4/1,620
1985/5/1,678
1985/6/1,722
1985/7/1,766
1985/8/1,726
1985/9/1,678
1985/10/1,655
1985/11/1,733
1985/12/1,721
1986/1/1,733
1986/2/1,728
1986/3/1,880
1986/4/1,857
1986/5/1,789
1986/6/1,728
1986/7/1,698
1986/8/1,621
1986/9/1,763
1986/10/1,669
1986/11/1,707
1986/12/1,784
1987/1/1,709
1987/2/1,732
1987/3/1,713
1987/4/1,735
1987/5/1,651
1987/6/1,637
1987/7/1,658
1987/8/1,657
1987/9/1,666
1987/10/1,650
1987/11/1,625
1987/12/1,595
1988/1/1,585
1988/2/1,663
1988/3/1,669
1988/4/1,699
1988/5/1,684
